"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"30";"Bulgaria";NA;NA;NA;NA;NA;-46.7789183658401;-39.3389298121801;-34.6838127851141;-36.8285165147629;-37.8036124020255;-38.7869733855675;-36.4125902323494;-36.4607410314601;-37.0622738095044;-36.5859739887922;-34.4773159860212;-33.1480989729054;-31.4671063871105;-37.6539863035393;-38.0985860147863;-32.995337603912;-27.191642568299;-19.7867289501575;-14.8477509537283;-16.8884937493285;-11.9696800171476;-8.93989895296285;-15.6829062113553;-10.5830904178575;NA
"31";"Burkina Faso";NA;NA;NA;NA;NA;NA;-46.0441410969809;-46.4136030175965;-40.4768182541431;-42.4325313241399;-37.7686280494504;-41.2689791432868;-37.5528829818804;-27.3361228903189;-36.3624309920333;-39.2941412896982;-36.7615795666564;-25.8364159742678;-23.6122235404085;-22.0247488550505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"Burundi";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.6883212071046;-32.2765842800787;-16.2119570860952;-16.4501757958675;4.84922196869557;16.1168210477826;76.8285985265559;31.3494049034764;62.4926285430574;283.059064537434;NA;112.841152672809;NA;150.804695062704;0.0131236730042935;70.9431075547201;130.552053452259;471.65747456634;278.089845866393
"33";"Cabo Verde";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.23917578214195;-2.30670099861001;-6.61399980286901;-10.7369091158654;-14.8757771367855;-18.6902032118221;-22.4862191953689;-25.2164100484694;NA;-40.6349589732366;-38.3002137782991;NA;-37.052418108808;NA;NA;NA;NA
"34";"Cambodia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29.9346855507423;23.0086848866624;18.3393095864116;7.42849404204251;NA;NA;NA;NA;NA;NA;NA
"35";"Cameroon";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-42.3133445191759;-39.8535072951795;-63.1364590606926;-65.1893630543784;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"Canada";89.7590347592826;NA;NA;NA;NA;158.081133773127;NA;NA;NA;NA;69.7108615290308;NA;NA;NA;NA;NA;NA;57.1024479406557;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"Cayman Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"Central African Republic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"Chad";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
